product_name,brand,proteins
meat feast pizza,co op,25.0
Caprice des dieux,caprice des dieux,15.0
Le Goût Primeur format familial,"Savencia, St Moret",8.3
PROPERCHIPS Sea Salt Lentil Chips,Proper,10.0
PRESIDENT CAMEMBERT 250g,"Lactalis, Président",20.0
Muesli,Alpen,12.0
Grilletine au froment sans sucres ajoutés,brioche pasquier,13.0
Seeded Batch,Warburtons,10.6
Petits fours financiers,,8.1
Be Nuts! Pâte à tartiner Cacahuète,Andros,22.0
Biscuits pavot citron,Gerblé,8.9
5% Greek Yoghurt,Fage,9.0
Crema de cacahuetes 100%,Hacendado,30.0
CHOCAPIC BIO Céréales 375g,"Nestlé, Chocapic",8.8
Les Tranches Végé Pois chiches,Fleury Michon,8.1
Piadina,Crosta & Mollica,8.9
Céréales Chocapic,"Nestlé,Chocapic",8.8
Grilletines blé complet,"Brioche Pasquier, Pasquier",13.0
Low Sugar Nuts & Seeds Granola imp,Lizi’s,13.9
Edelbitter Mild 90%,"J.D. Gross,Lidl",11.0
Harrys beau & bon pain de mie farine de ble cereales & graines 320g,Harrys,12.0
Beurre de cacahuètes,Whole Earth,29.0
Mature Cheddar,Cathedral City,25.4
HERTA LE BON PARIS Jambon à l'étouffée sans nitrite x4-140g,"HERTA, Le Bon Paris",21.0
Chocolat noir Equateur Bio,J.D. Gross,9.0
Greek 0%,Aldi- emporium,10.4
Country Crisp - Chocolat noir 70% cacao,Jordans,9.2
La bûche Sainte-Maure (Poitou-Charentes,Soignon,20.0
Tartines craquantes sarrasin,Céréal Bio,12.0
Original Doux & crémeux,,10.0
White Sourdough,Sainsbury's,9.2
NAKD Cacahuètes - 140g (4x1p),Nakd.,12.0
Toastie Thick Sliced Soft White Bread,Warburtons,9.1
Cream Crackers,Jacob’s,10.0
Atun C / Tomate Isabel,Isabel,17.0
Pistaches de Californie,"Alesto, Lidl",26.0
Organic Crisp Bread,DR KARG'S,18.0
Boursin garlic & herbs,Boursin,8.5
Peanut butter Creamy,Skippy,23.0
"Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres de 30 g","General Mills France,Nature valley",9.5
Smooth Peanut butter,Whole Earth,26.3
Italian Original Breadsticks,Tesco,11.2
La Panée Soja et Blé,Garden Gourmet,12.3
"Crispy Minis Choco, céréales de blé complet enrichies en vitamines et en fer avec du chocolat",Weetabix,10.0
Nocciolata Bianca,Rigoni di Asiago,18.125
White Sourdough Loaf,Specially Selected,9.4
original shredded wheat,"Nestlé, Nestlé UK Ltd",12.2
,,10.0
Galletas de trigo espelta 0% azúcares añadidos,Hacendado,9.0
Pork Sausages,Heck!,24.0
Cruesli Chocolat noir,Quaker,8.1
Country Crisp 4 Baies,Jordans,9.1
Cheese Oatcakes,nairn's,13.6
Smooth Peanut Butter,meridian,26.0
Kinder Chocolate,Chocolate,8.7
Goûter aux raisins,Gerblé,9.4
Barilla Penne Rigate Fullkorn 500g,Barilla,13.0
Kiri-Käse,Kiri,9.0
Salsa de Soja,Kikkoman,10.0
Skyr,Yoplait,9.5
Peanut,M&M's,9.8
Miettes de Maquereaux à la sauce tomate et aux épices,Joly,30.1
Kiri carré 36,Kiri,9.0
Crunchy peanut butter,Pip & Nut,27.0
Organic Milk Chocolate,Green & Black's,9.8
Tartines de Pain Blé Complet,Brioche Pasquier,13.0
Kiri® Crème 12 portions,Kiri,9.0
Fage,Fage,10.3
NESTLE CHOCAPIC Céréales 375g,"Nestlé, Chocapic",8.5
Hafer Flocken Zart,"Crownfield,Bio Organic,Lidl",13.2
4 Greek Style Flatbreads,K Kitchen Deli,11.3
Heudebert Fibre +,Heudebert,15.0
All-Bran Original,"Kellogg,Kellogg's",14.0
Krisprolls complets,Pågen,12.0
Tartines céréales 450g,La Boulangère,10.0
Krisprolls,Krisprolls,9.0
Avena crunchy,Hacendado,13.0
Bran Flakes Malty Crunch,Tesco,10.6
Cerelac,Nestle,15.0
Penne Rigate N°73,Barilla,13.0
Tortillas de trigo integrales,Hacendado,9.3
Goûter aux écorces confites,Gerblé,9.5
salsa di soia a tasso ridotto di sale,"HAUGEN-GRUPPEN AS, Kikkoman, Kikkoman - Kikkoman K.K.",10.0
Simply Delicious Muesli,Dorset Cereals,9.6
Pain de mie grandes tranches Toastiligne céréales & graines 500g,La Boulangère,11.0
Milka Tablette Noisette,"Milka, Mondelez",8.2
Bran Flakes,Kellogg's,11.0
Fitness Nature Céréales complètes,Nestle,9.8
Beurre de cacahuètes crunchy,Whole Earth,29.0
Crunchy Organic Peanut Butter,Whole Earth,27.2999992371
Ferrero Rocher,Ferrero,8.2
Excellence Noir Délicat Doux 85% Cacao,Lindt,8.9
HIPRO Saveur Vanille,"Hipro, Danone",9.4
Biscottes Sans sucres ajoutés Blé complet,Pasquier,14.0
HERTA Knacki Veggie Saucisses végétales x6 -210g,"Herta,Knacki",16.0
Tosta PAN FIBRA & SÉSAMO,Hacendado,13.0
Trigo Espelta Crackers,Bachman,15.0
Blanc de Poulet,Fleury  Michon,21.0
Protein Thin Bagels,Warburtons,13.5
6 Wholemeal Pittas,Tesco,10.3
Muesli Croustillant Noix de pécan & noix du Brésil,"Muesli Croustillant, Quaker",11.0
Skyr nature 0%,Danone,12.0
Pistacchi,AlestoLidl,26.5
Granola,Jordan’s,11.0
La vache qui rit,La vache qui rit,11.0
Nutri+ avoine complet,Bjorg,9.1
Fusilli 98,Barilla,13.0
Pain de mie grandes tranches 7 cereales,Maître Jean Pierre,10.4
Malted Wheaties,Harvest Morn,11.7
Nuez natural pelada,FACENDADO,17.0
,Aiguebelle,9.2
Pecan Nuts natural,Alesto,11.5
No Artificial Additives 6 Pork Sausages,Naked,15.6
Le Supérieur - à l'Etouffée - Conservation sans Nitrite,Fleury Michon,22.0
Smoked Tofu,The Tofoo Co.,16.9
,Hacendado,10.9
"Low Sugar, Naturally Gut-Loving Granola",Bio & Me,13.2
Wraps,Old El Paso,9.1
Gingembre saveur citron 🍋,Gerblé,8.3
High Protein Drink Cacao,Milbona,34.98
Cocoa Powder,Green & Blacks,22.0
Tartines craquantes Sarrasin,Jardin Bio étic,11.0
Oat flakes,Carrefour,14.0
Shreddies,Nestle,11.0
Classic Chicken Soup,Covent Garden,10.4
Kinder Country,kinder,8.6
la hollandaise,la hollandaise,9.0
Protein Caramel salé Cacahuètes,Nature Valley,10.4
Tomatocy French Puy & Green Lentils,Merchant Gourmet,8.3
6 Wholemeal Pittas,Village Bakery,10.0
Noir equitable 85% Pérou,Alter Eco,8.1
Kinder Cards,"Ferrero,Kinder",11.5
Bran Flakes,"Crownfield,Lidl",11.1
marmite,Marmite,34.0
Oatibix,Weetabix,12.0
الهاندس,La Hollandaise,10.0
Avena Crunchy Cacao,Hacendado,13.0
8 Pains au lait frais Bio 280g,"La Boulangère Bio, La boulangere",9.3
Flocons d'avoine complète,Quaker Oats,11.0
NYC BAGEL Sesame,NEW YORK BAKERY,10.9411764705882
Sourdough Wholemeal Ciabattin,Jason's,11.7
petit yoplait,"Petit yoplait std, Yoplait",9.0
Heinz Baked Beans,Heinz,10.0
Cheerios Multigrain,"Cheerios,Nestle",9.3333
single origin milk chocolate,Marks & Spencer,8.4
Pan de molde con 52% centeno,Hacendado,10.0
Merguez Végétal,HAPPYVORE,12.0
Beurre de cacahuètes du Nicaragua,Ethiquable,25.0
"Biscuits 3 graines Kasha, Sésame, Pavot",Gerblé,9.5
"Muesli con quinoa, chía y chocolate negro",Hacendado,9.8
Smooth Organic Peanut Butter,Whole Earth,25.6
