product_name,brand,sugars
Banania Original - Cacao Céréales Touche De Banane & Miel,Banania,69.0
Cashew-Cranberry-Mix,Alesto,38.8
AFTER EIGHT Coffret 300g,After Eight,66.2
Cassonade pure canne,Daddy,100.0
Ferrero Rocher,Ferrero,39.9
Hazelnut Chocolate Spread,Bonne Maman,51.0
Excellence Noir Orange Intense,Lindt,46.0
Delice,"Kinder,Ferrero",41.0
galettes riz chocolat noir,"Sondey, Bio Organic",32.0
Pâte à tartiner,"Carrefour BIO, Carrefour",58.0
Hohos,,42.0
Oreo original,Mondelez,36.0
La delicieuse,,64.0
Whole Nut Milk Chocolate,Fin Carré,40.2
TSR GRENADINE 60 CL,Teisseire,78.0
Confiture fraise -30% de sucres,andros,40.0
Nutella 950g,Ferrero,56.3
Gaufres Miel,Bjorg,36.0
Tchicolata,,57.0
Halls,Mondelez,80.0
Peanut Delight,nākd,35.0
Excelo nougat,Excelo,40.3
Cassonade,"Béghin Say,La Perruche,Tereos",100.0
confiture,el baraka,62.0
Juicy Oranges Whole Fruit Squash,Rocks,41.0
Kitkat,Nestlé,47.0
Crunchy,Be,34.3
Sirop d'Agave,Maribel,75.0
Aiguebelle,Aiguebelle,44.0
Prince Multicéréales Goût Chocolat Au Blé Complet,LU,31.0
BLE 70CL ORANGE CITRON PULCO,Pulco,36.7
Nutella biscuits fergulf,"Ferrero, Nutella",35.8
Cosumar Sucre Granule - Granulated Sugar,,100.0
Hohos,,41.0
Pim's - Framboise,Lu,48.0
LIDL VITASIA Sweet Chilli sauce - VITASIA - 700ml 1.49€ 1l 2.13€,"Vitasia, LIDL VITASIA",34.8
Pâte à tartiner bio noisette cacao,Lucien Georgelin,55.0
"RICORE au Lait, Café & Chicorée, Boîte 400g","Nestlé, Ricore",39.0
Biscuits fourrés aux framboises,Bjorg,38.0
Confiture Abricot INTENSE,Bonne Maman,39.0
,"Choco Nussa,Lidl",56.1
Milk Chocolate,Fin Carré,56.3
Nutella,"Ferrero,Nutella",56.3
Ovomaltine crunchy,Ovo maltine,54.5
Mejora,,61.0
Cookies chocolate Chip,Sondey,32.0
Honey,Rowse,80.8
6111259347106,,45.0
Nocciolata crunchy,Rigoni di Asiago,48.0
Pâte à tartiner cacao noisettes bio,LIDL,57.6
Pâte à tartiner cacahuètes et cacao,Bonne Maman,39.0
Véritable Petit écolier Pocket Chocolat au Lait,LU,40.0
Mini BN Chocolat,BN,30.6
Pâte à tartiner Noir cacaopasta imp,"Jardin bio, Jardin biologique, Léa Nature",34.0
,,54.8
NESTLÉ DESSERT Noir 205g,"Nestlé, NESTLE DESSERT, Tablettes",46.4
cioccolato fondente,fin carre,36.5
Honey,Grandessa,76.4
Konfitura Morelowa 240g*EL Baraka*,el baraka,60.0
Ginger 60% Cocoa Bar,Green & Black's,47.0
6111259344068,,61.0
Sucre complet de canne,Ethiquable,96.0
Kinder Riegel Einzelpackung,"Ferrero,Kinder",53.5
La Paille d'Or aux framboises,"Lu, Mondelez International",51.0
,"Côte d'or,Kraft Foods",44.0
Choco Wafer,"Milka, Mondelēz",43.0
Confiture D'abricots extra aïcha,"Aïcha,Extra",62.0
cassonade,"Lidl, navarre",98.9
Chocolate con Leche,"Nestlé,Extrafino",57.7
Pâte à tartiner noisettes,Revey Tchico,43.44
Goody cao,Bellarom,75.8
Confiture 70% de fraise,Léonce Blanc,38.0
The Original Speculoos,"Lotus, Lotus bakeries",38.1
