calorie_category,energy_kcal,sugars,fat
High Calorie,551.9189801015494,18.67408990228935,36.928807873425235
Low Calorie,85.14141413095022,5.3052373734511065,3.046549605136436
Moderate Calorie,305.86449413100456,13.723111115929646,10.214177146503625
Unknown,,10.446029411764707,23.308382352941177
