product_code,product_name,brand,energy_kcal,energy_kj,carbohydrates,sugars,fat,saturated_fat,proteins,fiber,salt,sodium,fruits_veg_nuts,nutrition_score_fr,nova_group,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
796554056180,,,,,,,,,,,,,,,,,Unknown,Unknown,No
3183280000544,FLEUR DE SEL,Le Saunier de Camargue,,,,,,,,,,,0.0,,2.0,,Unknown,Unknown,No
2006050045075,,"Bon & Bio,Bon et Bio",,,,0.0,,0.0,,,,,0.0,,2.0,,Unknown,Low Sugar,No
6111259346291,,,,,,,,,,,,,,,,,Unknown,Unknown,No
5900020043306,nestle,nestle,,,,,,,,,,,,,,,Unknown,Unknown,No
6923818812013,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111128001290,hassan,,,,,,,,,,,,,,,,Unknown,Unknown,No
121201800111,,Safia,,,,,,,,,57.5,23.0,,0.0,1.0,,Unknown,Unknown,No
20991241,Belladonna Löslicher Kaffee Entkoffeiniert,Lidl,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6194000521895,Choco Tom gaufrettes,Tom,,519.0,57.6,37.05,28.96,16.07,7.12,9.45,815.0,326.0,0.0,21.0,4.0,0.64,Unknown,High Sugar,Yes
6111246950203,Raibi,Jibal,,,,,,,,,,,0.0,-1.0,1.0,,Unknown,Unknown,No
6111024000946,,الكف,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111270030148,,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
5111463000430,,,,,,,,,,,,,,,1.0,,Unknown,Unknown,No
6133275000018,Saida eau minérale,Saida,,,,,,,,,5.0,2.0,0.0,20.0,,,Unknown,Unknown,No
3560071263577,Chicoree nature,"Carrefour, Carrefour Classic",,,,,,,,,,,100.0,,1.0,,Unknown,Unknown,No
6111203004024,,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111195006877,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8436037960420,,,,,,,,,,,,,,,,,Unknown,Unknown,No
3610340078941,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6291003634154,Day BREAK,Tiffany,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
20404499,Miel d'Acacia avec Rayon,"Deluxe, Lidl",,,,,,,,,,,0.0,,,,Unknown,Unknown,No
16103403,elviva,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6118000080039,brufen,médicament,,,,,,,,,,,,,,,Unknown,Unknown,No
5000174035155,,,,,,,,,,,,,,,,,Unknown,Unknown,No
5449000311863,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111024008898,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8017596057105,Acqua naturale naturale,"Eurospin, Ginevra",,,,,,,,,44.25,17.7,0.0,0.0,1.0,,Unknown,Unknown,No
6111184003665,VINAIGRE DE CIDRE DE POMME,Star,,,,,,,,,,,0.0,,2.0,,Unknown,Unknown,No
6111017040829,Aiguebelle mini,Aiguebelle,,,,,,,,,,,,,,,Unknown,Unknown,No
6221007036302,Crem,,,352.0,,0.0,1.8,1.6,,0.3,0.18,0.072,,,,,Unknown,Low Sugar,No
6118000240051,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6221048403248,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6923815199032,Miel,,,,,,,,,,,,0.0,19.0,2.0,,Unknown,Unknown,No
