product_name,brand,salt
Delizias pechuga de pavo,Noel,1.8
Picos 100% integrales,Hacendado,2.1
Baking Powder,Dr. Oetker,45.0425
Scottish Rough Oatcakes,Tesco,1.4
Chef Ketchup,Heinz,1.8
British unsalted butter,"Aldi,Cowbelle",3.0
Spreadable west contry butter,Lidl,1.3775
Premium dark soy sauce,Lee Kum Kee,2.895
Albane,,6.0
Pancakes sans conservateurs Farine de blé issue de Moulins Français,Brioche Pasquier,1.45
Croq' soja à la provencale,Céréal Bio,1.2
Olives noires confites dénoyautées bocal 150g,Tramier,2.2
matière grasse,"St Hubert,St Hubert Oméga 3",1.3
Tomatensauce,Combino,1.05
Senf,"Bautz'ner, Bautzner",2.3
Vollkorn Roggen,Wasa,1.22
Sardines huile d'olives et piment,Parmentier,1.2
Eau minérale,Volvic,30.0
AMORA Mayonnaise 5 Ingrédients 235g,Amora,1.2
Pringles Cașcaval,Pringles,1.4
Ristorante Pizza Vegetale,Dr. Oetker,3.64
Tikka Masala Spice Paste,Patak's,4.7
100% trigo espelta integral,Anitín,1.8
Blédilait Croissance,Danone,7.0
Lentil chips,Eat Real,2.1625
Rillettes du Mans - La véritable,"Bordeau Chesnel, Savencia",1.13
"Grany moelleux, fruit des bois","Lu, Mondelez",1.2
Sticks et Bretzels d'Alsace,"Dr. Oetker, Ancel",3.9
Amora mayo fouettee 398g,"Amora, Unilever",1.5
Céleri rémoulade,Saladinettes,1.18
St hubert omega 3 demi sel,"St Hubert, St hubert omega 3",1.3
Chips saveur Pesto Mozzarella,Brets,1.4
Rice Crackers Finement Salé promotion,"N.A!,N.A! Nature Addicts",1.1
Blanc de poulet doré au four,Fleurs michon,1.5
Mini Original,"Babybel, Mini babybel",1.7
CORN FLAKES 1kg,Kellogg's,1.0825
Agua Mineral Natural,Mondariz,119.0
Pom-Bear Original 6pk,Pom-Bear,1.7
One Pot Meal Coconut Lentil Turmeric Daal,BOL,1.77
Pain de mie american sandwich nature sans sucres ajoutés 550g,"Harrys, Harrys Né à Châteauroux",1.1
Toast brioché,"LU, Pelletier",1.09
Tomato Ketchup,Heinz,1.8
Fond de Veau,Maggi,16.8
Light Soy Sauce,Amoy,15.3
Bournville Cocoa,Cadbury,1.75
Miso Easy (Traditional),Itsu,1.8
Lipton Peche ice tea,Lipton,70.0
Yaos Le Yaourt à la Grecque Stracciatella 125 g,Nestlé,104.0
Pesto verde,"Carrefour,Carrefour Classic",1.7
Harrys pain de mie extra moelleux complet sans sucres ajoutés 280g,Harrys,1.1
Eau minérale Ifri,Ifri,3.95
Aiguillettes de Poulet Rôti,Fleury Michon,1.5
Extra Mature Cheddar Cheese,Cathedral City,1.8
Extra Mature Cheddar,Cathedral City,1.77
Chicken Stock Pot 4 x,Knorr,15.2
gravy granules,Bisto,8.31
Cheesestrings,Strings and things,1.8
danonino,Danonino,1.5
Cracotte fibres,LU,1.4
Butterkekse,"Bahlsen,Leibniz",1.48
Fuet Espetec Extra,Casa Tarradellas,3.64
Arome l'Original,Nestlé,18.3
St hubert omega 3 255 g demi sel,"St Hubert, St hubert omega 3",1.3
Chips paysanne nature,"Lay's,Lays",1.3
Branston Original Pickle,Branston,3.4425
Yeast extract,Tesco,7.5
Corn Smoked BBQ Crunchy Corn,Love Corn,2.2
Tesco Sesame Breadsticks,Tesco,1.2
Cigar,henry's,71.5
Thé,Stéphanie Janah Freres,8.0
Monster Munch Salé,"Intersnack, Monster Munch, Vico",1.8
Soy Sauce,Vitasia,15.9
4 Pains burger géant à la farine  complète,Jacquet,1.1
Aiguillettes végétales et gourmandes,HappyVore,1.4
Al'fez | Harissa,Al'fez,1.6
Lessieur 220g,Lesieur,1.55
Mushroom Soup,New Covent Garden Soup Co,1.3
Black Peppercorn Bolli Italian Crackers,Crosta & Mollica,2.0
,,1.25
Granola l'original,Lu,1.2
Special Flakes Chocolate Noir,Crownfield,1150.0
Hummus Classic,Chef Select,1.3775
Pan Especial de Trigo,The Rustik Bakery,1.1
Tartare Ail & Fines Herbes,"Fromarsac,Savencia,Tartare",1.1
Crema Novi Haselnusscreme,Novi,90.0
Mayonnaise comme à la maison,Bénédicta,1.3
Twiglets,Jacob's,1.1
Grissini Breadsticks,By Sainsbury's,1.17
Jambon végétal fumé,LA VIE,2.0
fromage perly 64p,,3.75
Biscottes Forme+,"Heudebert, Lu, Mondelèz International",1.41
Tofu à l'Ail des Ours,Taifun,4.5
Tiras de pechuga de pollo al natural,Hacendado,1.77
VICHY CELESTINS Eau Minérale Naturelle Gazeuse 1.15L,Vichy celestins,293.0
Falafel,Vemondo,1.225
Bacon Vegetal Fumé,"La Vie, la vie foods",2.2
Tomato & Basil,New Covent Garden Soup Co.,1.18
Nestlé Pure Life,Nestlé,5.0
MAGGI Bouillon KUB BIO Volaille 80g,"Bio, Maggi",42.0
Pain de mie sandwich complet 550g,U,1.1
,Hacendado,2.2
Pringles original,Pringles,1.1
Reduced Salt Yeast Extract (Marmite),"Sainsbury's, By sainsbury's, Sainsburys",5.5
Kimchi,Baxters,1.92
Thai green curry paste,Blue Dragon,2.2
Kiri carré 24p,Kiri,1.6
Sauce Barbecue star 290g,Star,2.23
pains au lait x8,Brioche Pasquier,1.1
Dolce pizza prosciutto,Sodebo,1.1
"Le Gourmand Soja, Poivre et Persil","Nestlé, Garden gourmet",1.1
Pain de mie longue conservation,Harrys,1.25
Gout Bacon,"Tuc,LU,Mondelēz",2.2
Saveur Barbecue,TOO GOOD,1.62
Vermicelles de Riz,Suzi Wan,10.0
Chapelure dorée,Tipiak,1.18
Sauce soja teneur réduite en sel,Kikkoman,9.2
Jambon Simplement Bio - Conservation sans nitrite,Fleury Michon,1.8
Boursin® Onctueux Ail & Fines Herbes,"Boursin,Boursin atartiner/core cheese",1.1
AMORA Mayonnaise 5 Ingrédients Tube 175g,Amora,1.1
Le moelleux,Fleury Michon,1.6
Краве масло 80.5%,"Dairy Manor, Morning Fresh",1.475
Pesto Basilico Limone,Barilla,1.9
Cream Cheese,Paysan Breton,1.1
Leader Chips saveur Sel,,1.8
SMOOZY,,9.0
Wasa tartine croustillante sensation aux graines de chia & touche de sel 245g,Wasa,1.2
Pan tostado integral,"Carrefour BIO, Carrefour",1.4
Houmous,Blini,1.19
Amora Mayonnaise De Dijon Bocal 235g,Amora,1.8
Truite Fumée de France,Ovive,3.0
L'extra craquante nature,Vico,1.3
Mini Bites Quinoa & Chía,gullón,2.8
Creamy Original Flavour,violife,1.2
Amora Moutarde Forte Verre 185g,Amora,4.9
Original Salted Peanuts,KP,1.2
Finest Wholemeal Loaf,Tesco,1.3
eau minérale naturelle,Fourat,55.3
Mayonnaise,,1.2
Ritz Cracker,Mondelez International,1.3
Camembert,"Bons mayennais, Vaubernier",1.4
Biscottes au blé complet x36 tranches de 300g,U,1.1
Schinken Spicker Grillgemüse,Rügenwalder Mühle,2.3
Breizh Surimi saveur crabe x 10 sachets soit 30 bâtonnets,Compagnie des Pêches Saint-Malo,1.8
Ketchup,Heinz,1.8
Protein Bar Cookie & Cream Flavour,Ironmaxx Nutrition GmbH & Co.,1.1
HERTA Lardons nature conservation sans nitrite - 2x75g,Herta,2.2
AMORA MUST Miforte 415g,Amora,4.5
Gnocchi 390g,"Lustucru, Lustucru selection",1.1
Pechuga de pavo finas lonchas,Hacendado,1.85
Light fat spread,Clover,1.4
Keralan Coconut Curry,The Spice Tailor,1.3133333333333
Houmous,"Saladinettes,Lidl",1.18
Gourmet Sea Salt Savoury crackers,Aldi,2.25
Love Corn Salt & Vinegat,Love Corn,1.0825
Rough Oatcakes,"Sainsbury's, By sainsbury's",1.42
Hovis white,Hovis,1.48
Cornichons,Star,3.16
Chick Peas,Aldi,2.0
Chipster,"Belin, Mondelez",3.0
La bûche légère -30% M.G,Soignon,1.6725
Biscottes complètes sans sucres ajoutés x36,Chabrior,1.5
Saint Albray gourmand & crémeux,"Saint Albray, Savencia",1.2
Allumettes de Jambon,Fleury Michon,1.4
Sauce Arrabiata,Saclà,2.0
Pringles Hot & Spicy,Pringles,1.2
GIRASOLI RICOTTA EPINARD,Lustucru Lustucru selection,1.1
FETA AOP GRECQUE,"Fromarsac,Islos,Savencia",2.3
Tomi Sweet Ketchup,Tomi,2.2
Ritz Crackers Original 200 g,Mondelez,1.3
HERTA KNACKI Saucisses 100% pur porc x10 - 350g,"Herta, Knacki",1.819
Truite fumée,Nautica,6.375
Chili-Limette,Tajin,1422.5
Salade Roma,Sodebo,2.2
Feta AOP,Milbona,1.9675
Vegetable Stock Pot,Knorr,14.36
Raw garlic and dill sauerkraut,Vadasz,1.5
Seriously Good Light Mayonnaise,Heinz,1.6725
Proper corn sea salt,Proper,1.09
Tomato Ketchup,Stokes,1.7
"Sharwood's Poppadoms, Plain",Sharwood's,3.54
Pain Extra Moelleux Nature Sans Sucres Ajoutés,Harrys,1.1
Pain de seigle complet Epeautre et épeautre vert,Maître Jean Pierre,1.2
Bouillon cube légumes dégraissé,"Jardin bio, Léa Nature",39.0
Fromage tartinable Nature,"Le Fromage Fouetté Madame Loïk, Paysan Breton",1.1
YumYum Beef,"YumYum,ยำยำ",3.648
Digestive fibra 23%,Hacendado,1.1
Sriracha Sauce Hot Chilli Sauce,Go-Tan,9.835
,jannet,59.125
,Mulino Bianco,1.3
"Mirinda orange 1,5",Mirinda,5.0
Fromage,,1.7
,,1250.0
Apa,Aqua Carpatica,1.78
Plant Based Salted Butter,Flora,1.7
Tortitas de arroz,Hacendado,1.4
MAGGI Bouillon KUB Légumes Sel Réduit 120g,Maggi,33.5
Galletas digestive,Digestive,1.3775
Meersalz Butter,President,6.25
Traditional Genovese Pesto,Belazu,2.1625
8 Navettes au beurre frais et à la crème fraîche,La Fournée Dorée,1.15
Saumon fumé,nautica,2.5875
Sardines à la tomate,Parmentier,1.2
Queso untar light formato familiar,PHILADELPHIA,1.1
Pâte feuilletée,croustipate,1.1
Korma spice paste,Patak's,4.8
Cheese leerdammer original,Leerdammer,1.5
Totas,tosfrit,2.03
Moutarde star 360 g,Star,6.54
Ramen,Noody,3.6
Boursin Ail & Fines Herbes,"Bel,Boursin,Boursin atartiner/core cheese,Fromagerie BEL",1.3
Rôti de Porc - 25% de sel*,Fleury Michon,1.4
Pain de mie Bio petites tranches complet & levain sans sucres ajoutés 280g,"La Boulangère Bio, La boulangere",1.1
Sauce soja sucrée,Kikkoman,7.1
Spécialité Moutarde Fine Mi-Forte,"Maille, Unilever",4.3
Pan de Molde Semillas & Pipas,HACENDADO,1.1
Mayonnaise,Bénédicta,1.4
Heinz tomato ketchup,Heinz,1.77
Digestive Classic,Gullón,1.6
Coconut Water,Vita Coco,250.0
Atún en tomate,PESCAMAR,2.5
Organic Tamari Soy Sauce,Yutaka,17.7
Green Pesto Sauce,sainsburys,1.0725
Bisto chicken gravy,Bisto,11.7025
Lentil Chips,Snackrite,1.6825
Proper porker 6 british pork sausages,the jolly hog,1.41
حليب,,3.1
fromage,Vache Qui Rit,1.7
Biscottes complètes,"Bio Village, Marque Repère",1.3
Froot Loops,Kellogg's,1.13
Moutarde Douce Fine & Douce,Amora,4.3
Knorr Soupe Déshydratée Forestière Champignons & Oignons 3 Portions,Knorr,5.7
REGAÑA,Hacendado,1.8
Crackers integrales,Galbusera,1.75
Chipsfrisch ungarisch,funny-frisch,1.5
Smoky Ham Free Slices,Quorn,1.7
Carbonara Buldak Spicy Ramen Artificial Spicy Chicken Flavor,Samyang,3325.0
Salted Butter,Cowbelle,1.475
Fennel Seed Tarallini,Crosta & Mollica,1.8
Biggy tasty,Star,1.82
"Plant Butter, spreadable",Flora,1.1
,,3.75
Bâton surimi,"Marque Repère, Pêche Océan",1.3
Roquefort Société,"Lactalis,Société",8.375
THONON Eau Minérale Naturelle 1.5L,Thonon,1.5
Cornichons aigres-doux Recette Paysanne,Kûhne,1.3
Pain de mie Grand Mie complet,Chabrior,1.1
Petits pains grillés au blé complet,"Chabrior, Intermarché",1.5
Le Tranché Fin - Dégustation - 25% de sel*,Fleury Michon,1.4
Ramen soja caramel,Tanoshi,1.5
Sauce chiltepin,La lumbre,2.1
HERTA Blanc Poulet sel réduit sans nitrite x4 140g,Herta,1.2
Bio crackers,maître Jean pierre,1.8
Coke,Coca-Cola,112.5
Digestive,Hacendado,1.5725
HERTA Allumettes Fumées conservation sans nitrite - 2x75g,Herta,2.2
Sacla' Vegan Basil Pesto,Saclà,1.2
Original HP Sauce,HP Foods,1.3
Tomato Ketchup,Hellmann's,1.8
Organic végétarian pesto,Saclà,1.2
Donut,Be,140.0
Oxo Beef,Oxo,30.7
Sweet chilli sauce,Asia Specialities,1.85
Finnebrogue Artisan Naked Bacon 6 Smoked Back Bacon Rashers,Finnebrogue Artisan,2.725
La Vache Qui Rit Edam,La vache qui rit,1.8
Sourdough,Waitrose,1.1
,Cream cheese,237.5
Eau de source de montagne,Saguaro,11.0
Sardines | In Extra Virgin Olive Oil,Nixe,1.2
MAGGI Bouillon KUB Volaille Réduit en sel de -25% 120g,"Nestlé, Maggi",33.0
Bouillon cube Volaille,Jardin bio',44.0
Chèvre frais,Chêne d’argent,1.1
caprice-des-dieux,Caprice des Dieux,1.4
Camembert Le Rustique,"Tine sa, Le Rustique",1.5
Great Mayonnaise,Hellmann's,1.0825
Jambon Le Supérieur -25% de Sel,Fleury Michon,1.4
Pan Bauletto al Grano Duro,"Barilla, Mulino Bianco",1.3
Quesitos,Hacendado,1.78
Tomato Ketchup,Tesco,1.22
Fromage edam,KROON,9.64
Dark Soy Sauce,aldi,14.45
Chocolat Dessert Noir 52%,Aiguebelle,1.8
Chicken stock,Pott's,1.5
Soy Sauce,,17.75
Wheat and rye bread,Marks & Spencer,1.08
maggi,Nestle,1.7995
,Safia,57.5
filets de sardines sans peau sans arêtes à l'huile végétale,Marine,1.1
Badoit rouge,Badoit,450.0
"Vinaigrette légèrevinaigre balsamique tomates et tomates séchée",Puget,2.3
Vinaigrette Balsamique Ciboulette - Echalotes,Puget,2.2
Tartines de Pain multi-céréales,Pasquier,1.6
Tabasco rouge 60ml,"McIlhenny Company, Tabasco",1.8
Salad Sauce | Dijonnaise | Without Oil,Le Jardin d'Orante,1.3
Sauce Bourguignonne,"Bénédicta, H.J. Heinz France, Heinz",2.8
Snack de Pan con pipas,Anitin,2.3
Oatcakes - Organic,Nairn's,1.61
Digestive,"Lidl, Sondey",1.6025
Tesco Red Pesto 190G,Tesco,1.0125
Biscotte blé complet,Pasquier,1.1
Multigrain Crackers,Rivercote (LIDL),1.3
Sour Cream & Onion Potato Chips,Popchips,1.0825
Unpasteurised Miso Paste,"yutaka, tazaki foods",11.9
Choco Tom gaufrettes,Tom,815.0
Grilletine Briochée x18,Brioche Pasquier,1.2
Sablés beurré nantais,"LU, Mondelez International",1.4
3D's Bugles goût nature,"3D's Bugles, BENENUTS, LAYS, Lay's",2.1
HERTA Pâte à Pizza Fine et Ronde 265g,Herta,1.493
CROQ'SOJA Curry et Pavot,Céréal Bio,1.1
Biscottes 6 cereales,"Marque Repère, Épi d'Or",1.5
Conserverie Parmentier sardines,Conserverie Parmentier,1.2
Amora Croq'Vert Cornichons Extra-Fins Bocal 370g,Amora,2.1
Bouillon Cube Poule,"Jardin bio, Léa Nature",44.1
Lomo embuchado,Hacendado,3.0
,"Lay's, Lays, PepsiCo",1.1
Tiras de pechuga de pollo al horno,Hacendado,1.77
Filet de maquereaux grillés nature,Petit Navire,1.21
Emincés de boeuf sauce poivre & pommes de terre,Fleury Michon,1.7
Saida eau minérale,Saida,5.0
La vache qui rit,La vache qui rit,1.7
Pesto basilico,Panzani,2.2625
Le Jambon Supérieur sans couenne sans nitrite,SAINT ALBY,1.9
Piquitos con salvado,Piquitos San Roque,2.4
Espinacas zanahoria,Hacendado,1.2775
Real Mayonnaise,Batts,1.0425
Baked Beans In Tomato Sauce,Essential Waitrose,1.06
Henderson's Relish,"Hendersons (Sheffield) Ltd,Henderson's",1.1
Takis Fuego 90g,Eagle,1.5725
Pringles Salt & Vinegar,Pringles,1.1
Margherita Sourdough Pizza,Crosta & Mollica,1.18
Cube de bouillon déshydraté saveur poulet,damti,23.5
campo verde slice,,3.75
St hubert omega 3 255g demi sel,"St Hubert,St Hubert Oméga 3",1.3
Sojasauce,Kikkoman,16.9
Grana padano rape 12 mois aop lc 100g,"Itinéraire des Saveurs, Les Mousquetaires",1.5
le Breizh Surimi,Compagnie des Pêches Saint-Malo,1.8
Original Pack Familiar,Philadelphia,1.05
Guacamole,Hacendado,1.5
Le moelleux,Fleury Michon,1.6
Gnocchi a poeler extra fromage 285g,"Lustucru,Lustucru selection",1.3
Mini cracker!,Gullón,2.5
Tartines croquantes,"Aldi, Simplement Bon et Bio",1.9
Pataks On the Side Lime Pickle,Patak's,8.9
Fish sauce imp,Blue Dragon,26.7
Jacobs Savours Salt And Black Pepper Bakes,Jacobs,1.2775
Mild & Creamy Mozzarella Grated,Tesco,1.42
Cocoa Powder,The Pantry,2.38
Paysan Breton - Beurre moulé demi-sel,Paysan Breton,2.0
,Maggi,50.9
Camembert lepetit 250g 21%,Lepetit,1.3
Pains grillés  Blé complet,"Marque Repère, Epi d'Or",1.6
Bouillon Légumes,Knorr,31.0
Pain campagnard avec du sarrasin et de levain,Schär,1.1
Soba classic,NISSIN,1.9
Salsa de soja,Hacendado,12.5
Schinken Spicker Schnittlauch,Rügenwalder Mühle,2.2
Fette biscottate,Misura,1.2
Acqua naturale naturale,"Eurospin, Ginevra",44.25
Leerdammer original 16 tranches 400g,Leerdammer,1.5
Chilli Heatwave Tortilla Chips,Doritos,1.35
La vache qui rit,La vache qui rit,1.7
Italian Organic Tomato Ketchup,Mr Organic,2.1
Black Pepper Savoury Crackers,"Aldi, Specially Selected",1.3
Battered Chunky Fish Fingers,The tasty catch,2.065
Worcester sauce,Tesco,1.5
Naked Bacon,Finnebrogue Artisan,3.0
La Gâche Tranchée,La Fournée dorée,1.12
St Amand Eau Minérale Naturelle 1L5,Saint amand,7.0
Milk Hazelnut,Lindt,230.0
Agua mineral grande,Solán de cabras,1.2
gnocchi di patate,Rummo,1.3775
HOT Chicken Flavor Ramen,"Buldak,Samyang",4.075
Chips saveur beurre salé,Brets,1.5
Ketchup,Heinz,1.77
What The Cluck Vegan Chicken Style Chunks,The Vegetarian Butcher,1.1
Burger rústico,Hacendado,1.0825
Real mayonnaise,Bramwells,1.2999999523163
Marrakech orange 1l,SELECTION,7.62
Pain de mie complet Grandes Tranches,Auchan,1.1
Colman's Tartar Sauce,Colmans,3.3
Caramelised Onion & Balsamic Vinegar Pea & Bean Sticks,Off The Eaten Path,1.99
Fiorentina Sourdough Pizza,Crosta & Mollica,1.0825
Krit crackers,Cuétara,2.0
,"Fromagerie Milleret, L'Ortolan",1.3
Palets Bretons au beurre,Sondey,1.15
Tomapizza,Panzani,1.1
Pain grillé au blé complet,Carrefour Original,1.6
"Tartine p,tit dej",Jacquet,1.1
Biscottes sans sucres ajoutés,Pasquier,1.57
Monster Munch - Produit soufflé à base de pomme de terre goût salé,Vico,2.0
Sandwich le méga - Poulet rôti oeuf x3,Sodebo,1.0825
Pain de mie complet,"Carrefour BIO, Carrefour",1.2
Finas lonchas,Hacendado,2.065
Vegetable Flavour,Yum Yum,2.1
Pufuleți,Gusto,3.64
Pomodori essiccati Sun-Dried Tomatoes,ITALIAMO,6.6
Manteiga Açoriana,Milhafre dos Açores,1.5
HERTA LE BON PARIS Jambon à l'étouffée sans nitrite x6 -210g,"HERTA, Le Bon Paris",1.54
Mayonesa,Hacendado,1.1
Mayonnaise,"Bénédicta, Heinz",1.4
Cheese Twists,M&S Food,1.85
Соленые огурцы Augurken Cornichons zoetzuur/aigres-doux,Freshona,1250.0
Takis Queso Volcano 90g,"Bimbo, Takis",1.9
Chicken stock cube,Knorr,4.14
& Mollica Black Olive Grissini,Crosta & Mollica,1.6
Malted Bloomer,Rowan Hill,1.13
SO Organic Tomato Ketchup,Sainsbury's,1.17
Ita Isabel Tu?czyk w Pomid. 80gW&quot;,,1.2
Rainbow Salmon Poke,Yo!,2.5575
Takis Fuego,Barcel,1.5725
,,35.0
Tortilla Wraps Vollkorn,GRAFSAFTER,1.3775
HERTA bacon 15T - 150g,Herta,2.2
Tarama Extra,"Delabli, l'atelier Blini",1.11
Petits pains grillés au blé complet 400g,U,1.01
Edulcorante de Mesa a Base de Ciclamato y Sacarina,Hacendado,12.84
RASPBERRY-POMEGRANATE Milk Product,Milbona,550.0
Muștar de Masă,La Minut,2.0
Mayonnaise,Bénédicta,1.4
Sardines huile d olive vierge,Parmentier,1.21
Pringles classic paprika,Pringles,1.2
Panecillo 100% integral,Mercadona,1.2
Knorr All Purpose Seasoning Aromat,Knorr,57.14
Cheddars Original Biscuits,Mcvitie s,1.5725
Scottish Rough Oatcakes,Rivercote,1.27
Panda Brand Oyster Flavoured Sauce,Lee Kum Kee,11.31
Lime & Coriander Chutney Poppadoms,"Sensations, Walkers",3.0
Sauce soja salée,Suzi Wan,17.2
Greek Feta,Tesco,1.9
State Baked Pretzels Sour Cream & Chive Flavour,Penn State,2.75
Ketchup Lesieur 250 g,Lesieur,3.6
Tabasco -  Red Pepper Hot Sauce,"Avery Island LA, McIhenny Company, Tabasco",1.7
,,91.5
Medium Egg Noodles imp,Blue Dragon,1.375
Kellogg's Tresor,Kellogg's,1.1
Galleta de mantequilla,Carrefour,1.1
Eau De Source De Montagne,Eco+ Leclerc eco,14.75
CHAUSSEE AUX MOINES 450g,"Chaussee aux moines, Lactalis",1.6
Amora Moutarde Mi-Forte Verre de Table 230g,"Amora, Unilever",4.5
Beurre moulé demi sel,Paysan Breton,2.0
Tartine demi-sel 100% végétal,Primevère,1.4
Panés de poulet x2,Le gaulois,1.2
Poivrons grillés,Freshona,1.16
Pan de molde blanco sin corteza,Hacendado,1.1
Maïs doux croquant Bio,Freshona,700.0
Atún Claro en Aceite de Girasol,Hacendado,1.18
Pancakes,la fournée dorée,1.3
Demae Ramen - Chicken,Nissin,5.41
Sauce crudités nature,Bénédicta,2.6
Californian Pistachios - Roasted & Salted,Alesto,1.78
Hot Chicken Flavour Ramen 2x spicy,Samyang,2.71
Smooth,Kraft,162.5
Mineral Water,Натурална минерална вода Велинград,107.175
HERTA LE BON PARIS Jambon sel réduit x4 - 140g,"HERTA, Le Bon Paris",1.41
Doritos Cool Original 180g,Doritos,1.45669291338583
This isn't pork sausages,this,1.3775
Mackrel Fillets in spicy tomato sauce,Nixe,1.0575
Kelderman Dutch Stone Baked Rye Bread 9 Slices,,1.1
2 Tikka Masala Paste Pots,Patak’s,4.7
Light Soy Sauce,Taste of,15.3
CRUMPET THINS,Warburtons,1.175
ketchup,rubies,2.1
Srop de yacon,Yacon&Co,3.0
Sundried Tomato & Oregano Bread with Sourdough,Tesco,1.0625
,Kiri,9.0
,Pepsi,5.71
100% integral,Mercadona,1.2
Natural 100%,Bimbo,1.2
,Rifnuts,1.75
,Wedo,150.0
,"Istara, Lactalis, SNC Pyrénéfrom",1.8
Pain grille,"Lu, Pelletier",1.8
Biscottes Aixoises,Roger,1.12
соус оливковый барилла на банете,"Barilla, Kalkof",1.05
eau de source,Ondine,15.75
Belvita petit déjeuner,"Belvita, LU, Mondelez",1.4
Bâtonnets de surimi,Odyssée,1.4
Mayonnaise à la moutarde de Dijon,Crf,1.7
Tofu rosso olives et tomates,Taifun,1.9
Blanc de Dinde - Doré au Four,Fleury Michon,1.8
Tortitas de maíz,Bicentury,1.7
Rosti,MC CAIN,1.3
Krisprolls Complets Sans sucres ajoutés,Krisprolls,1.1
Pain complet au sarrasin,Gerblé,1.1
Bruschette Chips Pizza Flavour,Maretti,2.4575
Mature Lighter,Cathedral City,1.77
"Mature Cheddar, Strength 3",Tesco,1.78
sweet chilli sauce imp,blue dragon,4.3
Protein Knäcke Kürbiskern,Dr. Karg's,1.9
Omega-3 Fish Fingers,Ocean Sea,1.0325
fanta tops pomme 1.5l,TOPS,63.0
Korean Kimchi,yutaka,2.1
Atún Gran Sabor Isabel,Isabel,1.2
,,1.625
Truite Fumée des Pyrénées,Ovive,3.0
Amora Moutarde Douce Verre 190g,Amora,4.4
Sel de mer fin,La Baleine,97.7
Mélange japonais,Maître Prunille,1.3
Caprice des Dieux,"Caprice des Dieux, Savencia",1.4
,Wasa,1.2
Sauce Alger,Samia,1.6
Panecillos cereales y semillas,Hacendado,1.4
Steak végétal,Céréal Bio,1.4
Storck Caramel Popcorn Classic 140g,Werther's Original,1.2775
Muszynianka 1.5,Muszynianka,219.5
Filet de poulet rôti,Fleury Michon,1.5
Olive Spread,Tesco,1.1
Patak's Korma Paste Pots,Patak's,4.75
MultiGraines,Bimbo,1.17
Dark Soy Sauce,Taste of China,2.33
Puck,Puck,1.7
Ketchup,"Ja! Rewe, ja!",1.77
POWER CAKES FLAPJACK & WAFFLE MIX,KODIAK,1.125
Leader chips,,1.6
Kettle Chips Sweet Chilli and Sour Cream,Kettle,2.175
Jolay,Alimani,1.36
Toast crock' céréales complètes,Carrefour,1.3
Vitamin B12,Mivolis,22.2
Filets de sardines sans peau sans arêtes,MARINE,1.1
La bûche de chèvre Maxi Format,Soignon,1.5
Le Torchon - Cuit à l'Etouffée  - 25% de sel*,Fleury Michon,1.2
Dolce Pizza - Regina,Sodebo,1.2775
Sandwich mega viennois poulet rôti oeuf,Sodebo,1.3
KUB OR,Maggi,61.9
Moutarde de Dijon,"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",5.7
Salinis,Schar,2.4575
Pesto Basilico e Peperoncino 195g,Barilla,1.9
Plant Butter,Flora,1.1
La Vache qui rit légère 16 portions,"La vache qui rit, bel",1.5
Gnocchi à poêler,Toque du Chef,1.175
Mostarda,Hacendado,2.6
Tomato Ketchup,Heinz,1.8
HERTA TGM pâte brisée pur beurre 280g,"HERTA, Trésor de Grand Mère",1.1
Salade & Compagnie - Montmartre,Sodebo,1.76
Houmous Garlic + Red Pepper,Sabra,1.3
Organic wholemeal digestive biscuits,Doves farm,1.0125
Eisen + Vitamin C,Mivolis,19.0
Dégustation - Chocolat Noir 72% Cacao,"Maestro,Saïda",80.0
Whole Grain Mustard,Bramwells,4.5
Thai red,Blue Dragon,2.28
Black Forest Tofu,Taifun,1.87
Mezze houmous + rainbow veg grain bowl,Pollen + grace,1.5725
Flutes aux 3 graines,Kambly,1.3
Pain grillé au blé complet - BIO,Chabrior,1.4
Maille Mini Cornichons Petits Croquants Bocal 210g,"Maille, Mini",2.3
La brique pur brebis,Lou Pérac,1.5
Pesto Rustico - Basilico & Zucchine,Barilla,1.65
Sel de Guérande IGP,"Carrefour, Reflets de France",100.0
"Soupe Thai  (Nouilles, champignons et pousses de soja)  د تای سوپ","Knorr, Unilever",8.1
Biscottes aux 6 céréales x36 - 300g,U,1.6
St Hubert Omega 3 Sans Huile de Palme Demi Sel,"St Hubert, St hubert omega 3",1.6
Jamón cocido extra,Hacendado,1.9
Le Tranché Fin - Dégustation,Fleury Michon,1.5
Mayonnaise en tube,Bénédicta,1.4
Sriracha,Flying Goose Brand,7.18
Le moelleux,Fleury Michon,1.8
Guedila,giba,72.5
Monster Munch crazy original,Vico,1.3
Real Mayonnaise,Bramwells,2.475
heinz ketchup,"Heinz, Morrisons",1.8
Red Onion & Rosemary Sausages,Linda McCartney's,1.3
Sriracha,"Flying Goose, Flying Goose Brand",1.825
Sauce soja salée,Suzi Wan,17.2
Thins - Multiseed Flatbreads,Aldi,1.2
Real Mayonnaise,"Lidl,Batts",1.06
Real Ketchup 485 g,Stokes,1.8
Fajita Mix Smoky BBQ imp,Old El Paso,19.1775
Fried noodles Mi Goreng,Indomie,2.6
Sauce cheezy easy,Star,2.37
Tikka Masala,Loyd Grossman,1.775
لانشون,y,1.5
Salakis Herbes de Provence,Salakis,2.65
