product_name,brand,salt
Kinder Chocolate,Chocolate,307.5
Kiri-Käse,Kiri,1.3
Salsa de Soja,Kikkoman,17.1
Miettes de Maquereaux à la sauce tomate et aux épices,Joly,1.25
Kiri carré 36,Kiri,1.6
Tartines de Pain Blé Complet,Brioche Pasquier,1.5
Kiri® Crème 12 portions,Kiri,1.3
Pain AMS complet,Harrys,1.2
Heudebert Fibre +,Heudebert,1.1
,Crownfield,1.95
Frommage fondu,REWE Beste Wahl,1.2
Krisprolls complets,Pågen,1.6
Tartines céréales 450g,La Boulangère,1.1
Pain de mie complet,Ekmek,1.05
Baked Beans In Tomato Sauce,Tesco,1.05
Ghayt,,25.0
AMORA Ketchup Flacon Souple 550g,Amora,2.0
Tortillas de trigo integrales,Hacendado,1.5
salsa di soia a tasso ridotto di sale,"HAUGEN-GRUPPEN AS, Kikkoman, Kikkoman - Kikkoman K.K.",9.1
,Ladid,3.25
Biscottes Sans sucres ajoutés Blé complet,Pasquier,1.1
HERTA Knacki Veggie Saucisses végétales x6 -210g,"Herta,Knacki",1.34
Tosta PAN FIBRA & SÉSAMO,Hacendado,1.13
Nouilles instantanées goût poulet,Indomie,3.22
Eau de source naturelle La Source,Aïcha,35.75
Bjorg amande,Bjorg,50.0
Blanc de Poulet,Fleury  Michon,1.475
mayonnaise de Dijon,amora,1.8
Panzani - spf - sauce pesto vert 200g,Panzani,2.8
Pringles,Pringles,1.2
Pelotazos futebolas,Cheetos,1.6
La vache qui rit,La vache qui rit,1.7
Cuetara Digesta Light 200G Marie Cookies,Cuétara,850.0
No Artificial Additives 6 Pork Sausages,Naked,1.31
Le Supérieur - à l'Etouffée - Conservation sans Nitrite,Fleury Michon,1.5
Piadina midi flatbread,Piadina,1.5
L'original tartare ail & fines herbes,"Fromarsac, Savencia, Tartare",1.1
,Philadelphia,1.06
Classic Chicken Soup,Covent Garden,1.4
Marhaba,,5.0
Press Up moyen,Jaouda,2.5
la hollandaise,la hollandaise,1.5
Pelotazos,Cheetos,1.6
Colman's Mustard,Colman's,8.4
Butter,Lurpak,1.18
Houmous extra - Pois chiches français & graines de sésame,L'atelier Blini,1.16
Azeitonas Lidl,Baresa,3.0
Marmite Yeast Extract,Marmite,1.188
marmite,Marmite,10.8
Magnesium,Mivolis,14.9
Corn Flakes,Kellogg's,1.1
Heinz Baked Beans,Heinz,1.2775
Smoky Spanish-Style Grains & Rice,Merchant Gourmet,1.2
Moutarde,,6.7
,Nestle,195.0
Pan de molde con 52% centeno,Hacendado,1.3
Lea and perrins,Lea & Perrins,2.8525
Corn Flakes,Kelloggs,1.1
Aquafina,Pepsi cola,5.0
fanta tops lemon 1.5l,,16.0
كريميو,Cremio,4.25
Véritable petit beurre,"LU, Mondelez, Mondelez international",1.3775
Le Beurre Tendre Demi-Sel Barquette,"Elle & Vire, Savencia",2.0
"9 Minis St Moret (17,8% MG)","Savencia, St Moret",1.3
Dijon Originale,Maille,5.0
,"Schweppes,Coca Cola",13.0
Pringles Texas BBQ 165g ajman,Pringles,1.0825
Leerdammer original 8 tranches 200g,Leerdammer,1.5
Real Mayonnaise,Hellmann's,1.2
La Biscotte 96% de céréales,Heudebert,1.2
Chips saveur fromage du Jura,Brets,1.7
Lala kheddidja,cevital,5.5
Crunchy Peanut Butter,Whole Earth,1.0825
Margherita Sourdough Pizza,Crosta & Mollica,1.18
Extra moelleux nature,HARRYS,1.18
Chips de lentilles saveur tomate mozza,"Natu' & Bon,Vico",1.1
HP the Original Brown Sauce,HP Sauce,1.3
Herbamare original,A.Vogel,93.6
Pain complet,Jacquet,1.2
Spreadable Tub,Country Life,1.3
eau minérale naturelle,Sabrine,152.5
Sel Moulu de Méditerranée,la baleine,97.7
Maxi Tranches Sans sucre ajouté Nature,Jacquet,1.1
Schweppes Agrum',"Orangina Schweppes,Schweppes",3.935
Ketchup,Hacendado,1.8
Tesco British Salted Block Butter,Tesco,1.475
Perly,Perly,1.6
Amora Spécialité à la moutarde de Dijon aux épices et aromates Savora Bocal 385g,"Amora, Unilever",4.7
Worcestershire Sauce,Lea & Perrins,2.9
HERTA LE BON PARIS Jambon sel réduit sans nitrite x4-140g,"HERTA, Le Bon Paris",1.375
Creme a tartiner,Leka c,2.0
Tomato ketchup,Heinz,1.8
babybel,Babybel,1.7
MUSCLY FROMAGE 24,"Jaouda, Copag",1.6
Or Blanc,Or Blanc,4.25
Pain complet 3 céréales,Bjorg,1.1
Geeta's Mango Chutney imp,Geeta’s Foods Ltd,2.0
Meat Free Tasty Sausages,Richmond,1.5
,Amora,1.8
Sriracha,"McIlhenny Company, Tabasco",6.7
Sauce Tomate concentrée cuisinée aux petits légumes,Panzani,2.9
Spreadable,Yeo Valley Organic,1.3
tuc,Tuc,1.9
La bûche fondante,"Lactalis, Président",1.5
Eau de source de montagne Laqueuille,"Marque Repère, Laqueuille",1.5
Eau de source,Saguaro,9.25
Classic Barbecue - Smokey & Rich,Heinz,1.2
Guedila,Guedila,72.5
Thon Joly,"Joly,Doha",1.1684
Mediterranean Falafel,Gosh!,1.4
Durum wheat flatbreads,crosta & mollica,1.475
sel,baleine,97.7
Organic Vegan Block,Naturli',1.18
Anchor Butter,Anchor,1.6725
Organic Bread 21 Whole Grains and Seeds,Dave's Killer Bread,425.0
Pain Grillé l'Original,BRIOCHE PASQUIER,1.3
HERTA TARTE EN OR Pâte Feuilletée 230g,"HERTA, Tarte en or",1.2
Pan de molde natural trigo espelta 100% integral,Hacendado,1.37
Sourdough  bagels,Fitzgeralds Sourdough Bagels,1.11
Evian,Evian,1.625
Sticks et bretzels d'Alsace,"Dr. Oetker, ANCEL",2.8
CRISTALINE Eau De Source 1L,Cristaline,4.75
Sea Salt & Balsamic Vinegar Crisps,Kettle,2.3
Fakiat Barbeque,leader food,1.1
Real Mayonnaise,Hellmann's,1.2
Krisprolls - Wholegrain Complets,Pågen,1.6
pringles hot & spicy,pringles,1.6002
Lustucru gnocchi a poêler format xxl 720g,"Lustucru, Lustucru selection",1.1
Seabrook sea salt,Seabrook,1.3
hollandis class 16p,talberjt,1.75
CHAUSSEE AUX MOINES 340g,"Lactalis, chaussée aux moines",1.6
Yankee,,1.975
Crispy Fried Onions,"Batts, Kania",1.18
Classic pesto,Filippo Berio,2.655
Maille Mayonnaise,Maille,1.1
Flocons d'avoine,Bjorg,83.3333333333333
Sriracha Hot Chilli Sauce,"Flying Goose Brand, Exotic Food",7.3
Mayonesa sabor tradicional,Kraft,1.8
03.06.2024 DEU101H 0?:14 4,La vache qui rit,1.7
Eau minérale naturelle,Hayet,39.05
Sel de mer,La baleine,97.5
Tortellini ricotta & épinards,"Giovanni Rana, Rana",1.1
Ain soltane 50cl,,4.0
Pain AMS 7 céréales,Harrys,1.13
Sel Fin,La baleine,97.5
Corn Flakes,Kellogg's,1.1
Moutarde de Dijon,"Kania, Lidl, Winarom",5.7
Les Tranches Végé Haricots Blancs,FLEURY MICHON,1.8
Sriracha Hot Chilli Sauce,,7.4
Mature Cheddar,Cathedral City,1.8
Jalapeño Ramona's Heavenly Houmous,Ramona's,1.1
Safia,"Safia,Sfbt,صافية",55.0
Blanc de poulet 100% filet,Fleury Michon,1.5
Original Salted Peanuts,KP,1.18
Veg crisps,TYRRELL'S,1.1
Blanc de Poulet  - 25% de Sel*,Fleury Michon,1.4
Tartines craquantes Froment,Maître Jean Pierre,1.19
Paysan Breton - Le Fromage Fouetté Madame Loïk - Ail et fines herbes de nos régions françaises,Paysan Breton,1.3
Original Breadsticks,Savour Bakes,1.7
Sel fin iodé,Cerebos,98.2
Camembert,Le Rustique,1.5
Biscottes aux céréales et aux graines,Maître Jean Pierre,1.7
Pain grillé Pelletier,"LU, Pelletier",1.8
Premium Soy Sauce,Lee Kum Kee,2.575
Seeded,Hovis,1.22
Rosemary & Sea Salt Sourdough Crackers,Peter’s Yard,2.0
Fromage Produit laitiers,LA VACHE QUI RIT,1.7
Ketchup,Amora,2.0
Nuggets Végétaux et Gourmands,HappyVore,1.18
Buscalios,Risi,1.4
American Sandwich Nature,Harrys,1.1
Roudor,St Michel,1.1
Wattwiller,Wattwiller,7.5
Masło orzechowe,Sante,1.825
Ketchup Zero,Hacendado,1.7
ice cola strong,ice,20.0
Sauce algerienne star,ok,2.22
Pechuga de Pavo Cocida 92%,Hacendado,1.8675
Sojasauce,Kikkoman,16.9
Chips Recette Paysanne Nature,Lays,1.3
Ready Salted Crisps,Walkers,1.3
Wasser Volvic naturelle,Volvic,30.0
Thins Multi-Seed Flatbreads,Ryvita,1.54
Vegetable Stock Pot 8 x imp,"Knorr, Morrisons",14.36
Fine milled oatcakes,Nairn's,1.67
Sauce pizza star 350 g,Star,2.0
Aiguebelle,Aiguebelle,11.0
Sticks Vegetales,Hacendado,2.3
Viandox 160ml,Knorr,21.0
Crêpes de Landerneau,Le Ster,1.7
Original Oatcakes,Nairn’s,1.62
Tortillas de avena 51%,HACENDADO,1.3
Bisto Gravy Granules,Bisto,14.33
Pain de mie nature,Harrys,1.1
Salakis 100% Brebis,"Lactalis, Salakis",2.8
Sel fin,Chantesel,100.0
Filets de Maquereaux au Vin Blanc,Saupiquet,1.1
LIDL VITASIA Sweet Chilli sauce - VITASIA - 700ml 1.49€ 1l 2.13€,"Vitasia, LIDL VITASIA",3.13
Tortilla con cebolla,Hacendado,1.1
Tomato Ketchup,Kania,1.5725
Eau minérale naturelle,délice,185.025
Bovril Beef and Yeast Extract,"Morrisons,Unilever",7.5
Ice Pulpe Orange 1.5cl,,5.48999975
Aqua sierra nevada,,6.25
Mayonnaise Classique à l'huile de colza,Lesieur,1.3
Filet de maquereaux au naturel,Saupiquet,1.18
,"Coca-Cola, Coca-Cola Company",42.0
Vinaigrette Légère Huile de Sésame & Sauce Soja Graines de Sésame Torréfiées 36 cl,"Maille, Unilever",1.8
Le pain au Seigle,Carrefour,1.2
Oregano Crostini Italian Bread Bites,Crosta & Mollica,2.0
Pâte à tarte feuilletée - Pur beurre,Marie,1.2
MAILLE Mayonnaise Fins Gourmets Bocal 320g,MailleUnilever,1.5
Light mayonnaise,Hellmann's,1.6725
Beanz in a rich tomato sauce,Heinz,1.2
Green Pesto,Tesco,1.13
Riz à la Méditerranéenne,Ben's Original,1.21
Filets de Maquereaux à la moutarde,Saupiquet,1.3
Filets de maquereaux grillés natures,Saupiquet,1.18
Fines Tartines farine de Seigle,Jacquet,1.2
"Love, Corn (Sea Salt)",Love Corn,1.5
Baked Beans,Corale,1500.0
Pane Pugliese,Crosta & Mollica,1.2775
Sauce Béarnaise,Benedicta,2.1
Pesto alla Genovese,"Baresa,Lidl",3.2
Lustucru gnocchi a poêler 520g,"Lustucru, Lustucru selection",1.1
Sauce soja,"Kikkoman, Kikkoman - Kikkoman K.K.",16.9
TUC Original,"Mondelez,Tuc",1.7
Filet de poulet 🐔 rôti,Fleury Michon,1.475
,"DM,mivolis (dm)",20.1
Moroccan Spiced Falafel,Gosh,1.2
Algérien sauce,Star,6.0
Maille mout fin gour 320g,Maille,4.0
Graze Marmite Crunch,Graze,1.0825
The Original Cracker,Ritz Bakery,1.3
eau minérale naturelle,TIJEN WATER,45.0
Marinated Tofu,Cauldron,1.5
Buttery Taste Dairy Free,Pure,1.5
HIGH FIBRE CREAM CRACKERS,"Jacob's, Jacobs",1.7
Barbecue,Proper,2.35
Biscottes Complètes bio,Carrefour,1.3
Beurre gastronomique demi-sel,Président,2.0
Brioche tranchée à la crème fraîche,La Fournée Dorée,1.32
Maggi Würze,MAGGI,18.2
Atún claro en aceite de oliva,Hacendado,1.18
Mighty Yeast Extract with added vitamins,Grandessa,8.095
unsmoked back bacon rashers,naked bacon,2.95
Le Bloc,La vache qui rit,3.1
2 Stonebaked Baguettes,Aldi,1.23
Chips saveur Sel & Vinaigre,Brets,1.8
HERTA LE BON PARIS Jambon à l'étouffée x4 -170g,"HERTA, Le Bon Paris",1.8
,,1.575
Palmito L'original,"Lu, Mondelez",1.4
Camembert,Cœur de Lion,1.4
BRIDELIGHT LE BON MOELLEUX ALLEGE 5%MG 350g,Bridelight,1.3
Röstzwiebeln,Kühne,1.08
Curly cacahuète l'original,"Curly, Intersnack, Vico",1.5
Saint Agur,"Saint Agur, Savencia",2.2
HERTA Blanc Poulet Nature conservation sans nitrite x4 -140g,Herta,1.5
Chips sea salt & cider vinegar,Tyrrels,2.0
Caprice des Dieux,"Caprice Des Dieux, Savencia",1.4
Moutarde Fine et Forte Flacon Souple,Amora,4.9
Kikkoman Soyasaus glutenfrei,KIKKOMAN,16.4
Rostlinná slanina,La Vie,2.2
Fakiat,Leaderfood,1.5
HAWAI ANANAS 1l,,26.0
PERRIER eau minérale naturelle gazeuse,PerrierNestlé WatersNestlé,24.0
Snack poppé T&H,Too GoodFrance,2.7
MAGGI KUB OR L'Original - 128g,"Kub or,Maggi,Maggi Kub or",60.0
HERTA Pâte à Pizza Fine et Rectangulaire 390g,Herta,1.493
Pesto alla Calabrese 190g,Barilla,2.7
Sun-dried Tomato Pesto,Saclà,1.18
Boursin ail et fines herbes,"Boursin,Boursin atartiner/core cheese",1.3
Maille Moutarde à l'Ancienne,Maille,5.0
Chicken Stock Pot 8 x,Knorr,14.95
Pain complet seigle,Bjorg,1.1
Crispbread,Schär,1.4
Pan de molde 12 cereales y semillas,Hacendado,1.175
Rôti de Poulet - 100% filet,Fleury Michon,2.25
Classic Margherita Mozzarella & Tomato Pizza,Pizza Express,1.071875
Green pesto,Lidl,1.4075
Pain de mie grandes tranches complet,"Marque Repère, Epi d'Or, Scamark (Filiale E. Leclerc)",1.1
Queso rallado parmesano,Extra Sapori d'Italia,1.6
Paysan Breton - Le Fromage Fouetté Madame Loïk - Echalote Ciboulette,"Le Fromage Fouetté Madame Loïk, Paysan Breton",1.2
Le moelleux,Fleury Michon,1.6
Brioche tranchée nature ss additif,Harrys,1.1
Sweet Chilli & Red Pepper,Tyrrell’s,1.0825
Chucrut al estilo bávaro,Hengstenberg,1.1
Pringles,Pringles,1.2
Salad Cream Original,"Heinz, Nature’s pick",1.5
Pesto Basil,Aldi,2.2
Chocolate Chip Oat Biscuit Breaks,Nairn’s,1.08
Chips saveur Chèvre piment d'Espelette,Brets,1.6
Kiri® Crème 24 portions,Kiri,1.3
Teriyakisauce,"Kikkoman, Kikkoman - Kikkoman K.K.",10.0
Veganer Schinken Spicker Mortadella,Rügenwalder Mühle,2.2
Bio crackers,Lidl,1.8
Small chunk pickle,Branston,3.9
Ain Soltan,,10.0
PurSoup' Velouté de 10 légumes,liebig,1.7
Amora Mayonnaise De Dijon Flacon Souple 235g,"Amora, Unilever",1.8
Greek White,Violife,1700.0
SPECIAL K The Original,Kellogg's,2.1
Branston Pickle Small Chunk,"Cross & Blackwell, King British",3.9
21 Whole Grains and Seeds Thin-Sliced Organic Bread,Dave's Killer Bread,262.5
Yeo Valley Salted Butter,Yeo Valley,1.5
María 100% Integral,"Hacendado, Siro",1.4
Sainte-Maure,Soignon,1.5
Chips de Sarrasin au Sel de Guerande,Brets,1.1
le Brie,Président,1.2
Vegemite,"Sainsbury's, Sainsburys Taste the Difference Taste the difference",8.39
Complet au sarrasin,Gerblé,1.1
Pizza Base with Tomato Sauce,Crosta & mollica,1.2
Natural Ingredients Buttery,Flora,1.3
Ketchup,Batts,1.0325
100% mie,Harrys,1.1
Le Classique Soja et Blé,"Nestlé, Garden gourmet",1.3
Amora Sauce Burger 260g,Amora,1.3
Céréales Trésor Kellogg's Chocolat Noisettes - 1kg,Kellogg's,1.1
Pomme de terre nature,"Lay's, Lays",1.1
Wholegrain Mustard,Maille,5.2
Scottish Rough Oatcakes,Savour Bakes,1.4
Seriously good vegan mayo,Heinz,1.1
itri choco,Excelo,2.0
Delfy,delfy,1.25
Curly cacahuete,"Curly, Vico",1.5
Filets de Sardines Citron Basilic,Saupiquet,1.3
Räuchertofu Mandel-Sesam,taifun,1.6
Chips nature,"Lay's, Lays",1.1
Rana spinach and ricotta fresh tortelloni,Rana,1.05625
Salted Butter,Country Life,2.032
Brioche tranchée,Maître Jean Pierre,1.03
Krisprolls,Pagen,1.5725
Amora Sauce Crudites Nature,Amora,1.3
Tuna Fillets in Brine,Nixe,2.63
Crunchy Peanut Butter,"Alcafé, Whole Earth",1.0825
Pitted Black Olives in Brine,"Baresa, Lidl",2.0
Marmite Reduced Salt,Marmite,6.1
Joly,Les Conserveries Marocaines Doha,1.1684
La Vie Jambon Végétal,LA VIE,2.0
Gemüse Brühwürfel,DmBio,1.2
Pain grillé,Brioche Pasquier,1.3
Grana Padano,Milbona,1.5
Pan de molde blanco natural rústico,Hacendado,1.1
Ketchup stat 330g,Star,2.228
Salade & Compagnie - Antibes,sodebo,1.3775
Cornichons  Gurken,Freshona,1.2
