brand,product_code
Aïn Atlas,1
Aïn Saïs,1
Aïn lfrane,1
B&S,1
"BABYBEL, Mini babybel",1
BADOIT,1
BAHIA,1
BARGOU,1
"BARILLA NORGE ASbarilla,Barilla",1
BE KIND,1
BE-KIND,1
BEAR,2
BECEL,1
BECKY'S,1
BELIN,1
BEN'S,1
BEN'S ORIGINAL,1
"BENENUTS, Plaisir brut",1
BEYOND BURGER,1
BIO U,1
BIRRA PERONI,1
BJORG,1
BJORG BIO NUTRI +,1
BN,9
BODYMASS,1
BODYMASS NUTION,1
BOL,6
BON Gelati,1
BRESSO,1
BRIOCHE PASQUIER,1
BRUNCH,1
Babybel,4
"Babybel, Bel",1
"Babybel, Mini babybel",1
"Babybel,Bel",1
"Babybel,Mini babybel",1
Bachman,1
Bad Reichenhaller,1
Badoit,6
Bahia,1
Bahlsen,3
"Bahlsen, Brandt",1
"Bahlsen,Leibniz",1
Baileys,2
Baker Street,1
Bakery Co,1
Balconi,8
Balisto,3
Balocco,3
Bambi,1
Bamboo,1
Banania,4
Baraani,2
Barber,1
Barcel,2
"Bare naked foods, BareNaked Foods",1
Baresa,11
"Baresa, Barrsa, Freshona",1
"Baresa, Combino",1
"Baresa, Freshona",2
"Baresa, Italiamo",1
"Baresa, Italiamo, Baresa - Lidl",1
"Baresa, Lidl",1
"Baresa, Lidl, Lidl Baresa",1
"Baresa, Lidl, Ospelt food AG",1
"Baresa,Freshona",1
"Baresa,Lidl",2
Barilla,47
"Barilla, Barilla Collezione",1
"Barilla, Barilla Piccolini",1
"Barilla, Gran Cereale",1
"Barilla, Harrys",1
"Barilla, Kalkof",1
"Barilla, Mulino Bianco",13
"Barilla,Gran Cereale",1
"Barilla,Mulino Bianco",4
"Barilla,Wasa",1
Bart,1
Batchelors,6
Batts,4
"Batts, Kania",1
"Batts, Lidl, Lidl Batts",2
"Bautz'ner, Bautzner",1
Baxters,4
Be,11
Be Biscuit,1
Be Kind,1
Be biscuits,1
Bear,2
"Bear, Bear Nibbles",4
Becel,3
"Becel, Flora Food Germany",1
"Becel,Upfield",1
Bee’s,1
"Beghin say, Tereos",1
Beiersdorf,1
Bel,1
Bel Nordic,1
"Bel, Boursin",1
"Bel, Kiri, Kiri gouter",1
"Bel, Leerdammer",1
"Bel, Leerdammer, Leerdammer original",1
"Bel,Boursin,Boursin atartiner/core cheese",1
"Bel,Boursin,Boursin atartiner/core cheese,Fromagerie BEL",1
"Bel,Kiri,Kiri gouter",1
"BelVita, LU",2
"BelVita, LU, Mondelēz",1
Belazu,3
Belbake,8
"Belbake Lidl, Belbake",1
"Belbake, Lidl, Navarre",1
Belcita,1
Belin,5
"Belin, Mondelez",2
Bellarom,7
"Bellarom, Fin Carre",1
"Bell’s Healthcare, Pure",1
Belmaroc,1
Belmont Biscuits,2
Belvita,5
"Belvita, LU",1
"Belvita, LU, Mondelez",1
"Belvita, Lu, Mondelez",1
"Belvita,LU,Mondelez",1
"Belvita,Mondelez",2
"Belvita,Mondelēz",1
Belvoir,3
Belvoir Farm,1
Ben & Jerry's,2
"Ben & Jerry's,Unilever",1
Ben's,6
Ben's Original,5
Benco,3
Benecol,3
Benedicta,3
Ben’s Original,1
"Berentzen,Mio Mio,Vivaris",1
Berida,1
Berief,1
"Bernard Michaud, L'Apiculteur",1
Bertinet Bakery,3
Bertolli,2
Best Foods,1
Better Nature,1
Beurre planta,1
Beyond Meat,3
Bezoya,1
Bicentury,1
Bien,4
Billie Green,1
Bimbo,9
"Bimbo, Takis",1
Bimo,8
"Bimo,Mondelez",1
Bio & Me,11
Bio Organic,1
"Bio Organic, Gräfschafter, Lidl, Maître Jean Pierre, Tastino",1
"Bio Organic, Lidl, Milbona, Milbone",1
"Bio Organic, Lidl, Sondey",1
"Bio Organic, Oaklands",1
"Bio Organic,Lidl,Milbona",1
"Bio Sonne,Lidl,Optisana",1
Bio Village,6
"Bio Village, LUCIEN GEORGELIN",1
"Bio Village, Marque Repère",41
"Bio Village,Marque Repère",3
Bio&Me,1
"Bio, Knorr",1
"Bio, Maggi",2
Biocoop,4
Biona,2
Biona Organic,2
Bionella,1
Bioster,1
"BiotechUSA, Biotech",1
Biotiful,7
Biotiful Dairy Ltd,1
"Biotiful Dairy, Costellore, Waitrose",1
Biotiful gut health,1
Bird's,1
Birds Eye,8
BirdsEye,1
Birdseye,1
"Biscoff, Lotus",1
"Biscuiterie De L'Abbaye, Lidl, Sondey",1
Biscuiterie d'Agen,1
Bisson,2
Bisson - Ekibio,1
Bisto,8
Bjorg,99
"Bjorg, Bjorg Veggie",1
"Bjorg, Bjorg bio nutri+",1
"Bjorg, Tanoshi",1
